Model name,XAI method,Model type,Metric name,Metric value,Image,Image class,Prediction
ResNet18,GradCAM,Baseline,Deletion,0.9936330262571573,74,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9800450066104531,75,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9964062036015093,76,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9882158818654716,77,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9972147904336452,78,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9973583538085222,79,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9958721497096121,80,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9794624801725149,81,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9900622898712754,82,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9917034972459078,83,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9792127152904868,84,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9784489809535444,85,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9896109271794558,86,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9968658518046141,87,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9870747183449566,88,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9887490966357291,89,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9886604486964643,90,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9984694444574416,91,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9840013887733221,92,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9932390698231757,93,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9945375206880271,94,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9837264968082309,95,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9804755607619882,96,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9889191021211445,97,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9982137200422585,98,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9949261220172048,99,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9773232825100422,100,River,True
ResNet18,GradCAM,Baseline,Deletion,0.987030706834048,101,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9815265713259578,102,River,True
