Model name,Augmentation method,Seed,Config,Metric name,Metric value,Mapping,Method
Vgg16,FDA,8,Config_1,Err_bl_hw,0.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,8,Config_1,Err_bl_rv,5.128205128205128,"(0, 0, 'CE')",Baseline
Vgg16,FDA,8,Config_1,Err_bl,3.7037037037037033,"(0, 0, 'CE')",Baseline
Vgg16,FDA,8,Config_1,Err_nor,4.096989966555184,"(0, 0, 'CE')",Baseline
Vgg16,FDA,8,Config_1,Err_nor_hw,2.9508196721311477,"(0, 0, 'CE')",Baseline
Vgg16,FDA,8,Config_1,Err_nor_rv,5.290102389078498,"(0, 0, 'CE')",Baseline
Vgg16,FDA,8,Config_1,Err_hw,2.88,"(0, 0, 'CE')",Baseline
Vgg16,FDA,8,Config_1,Err_rv,5.28,"(0, 0, 'CE')",Baseline
Vgg16,FDA,9,Config_1,Err_bl_hw,0.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,9,Config_1,Err_bl_rv,0.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,9,Config_1,Err_bl,0.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,9,Config_1,Err_nor,4.849498327759197,"(0, 0, 'CE')",Baseline
Vgg16,FDA,9,Config_1,Err_nor_hw,4.590163934426229,"(0, 0, 'CE')",Baseline
Vgg16,FDA,9,Config_1,Err_nor_rv,5.1194539249146755,"(0, 0, 'CE')",Baseline
Vgg16,FDA,9,Config_1,Err_hw,4.4799999999999995,"(0, 0, 'CE')",Baseline
Vgg16,FDA,9,Config_1,Err_rv,4.8,"(0, 0, 'CE')",Baseline
Vgg16,FDA,10,Config_1,Err_bl_hw,0.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,10,Config_1,Err_bl_rv,2.564102564102564,"(0, 0, 'CE')",Baseline
Vgg16,FDA,10,Config_1,Err_bl,1.8518518518518516,"(0, 0, 'CE')",Baseline
Vgg16,FDA,10,Config_1,Err_nor,3.7625418060200673,"(0, 0, 'CE')",Baseline
Vgg16,FDA,10,Config_1,Err_nor_hw,3.4426229508196724,"(0, 0, 'CE')",Baseline
Vgg16,FDA,10,Config_1,Err_nor_rv,4.09556313993174,"(0, 0, 'CE')",Baseline
Vgg16,FDA,10,Config_1,Err_hw,3.36,"(0, 0, 'CE')",Baseline
Vgg16,FDA,10,Config_1,Err_rv,4.0,"(0, 0, 'CE')",Baseline
Vgg16,FDA,1,Config_2,Err_bl_hw,6.666666666666667,"(200, 1000, 'CE')",Aug
Vgg16,FDA,1,Config_2,Err_bl_rv,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,1,Config_2,Err_bl,1.8518518518518516,"(200, 1000, 'CE')",Aug
Vgg16,FDA,1,Config_2,Err_nor,3.678929765886288,"(200, 1000, 'CE')",Aug
Vgg16,FDA,1,Config_2,Err_nor_hw,4.2622950819672125,"(200, 1000, 'CE')",Aug
Vgg16,FDA,1,Config_2,Err_nor_rv,3.0716723549488054,"(200, 1000, 'CE')",Aug
Vgg16,FDA,1,Config_2,Err_hw,4.32,"(200, 1000, 'CE')",Aug
Vgg16,FDA,1,Config_2,Err_rv,2.88,"(200, 1000, 'CE')",Aug
Vgg16,FDA,2,Config_2,Err_bl_hw,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,2,Config_2,Err_bl_rv,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,2,Config_2,Err_bl,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,2,Config_2,Err_nor,3.678929765886288,"(200, 1000, 'CE')",Aug
Vgg16,FDA,2,Config_2,Err_nor_hw,4.2622950819672125,"(200, 1000, 'CE')",Aug
Vgg16,FDA,2,Config_2,Err_nor_rv,3.0716723549488054,"(200, 1000, 'CE')",Aug
Vgg16,FDA,2,Config_2,Err_hw,4.16,"(200, 1000, 'CE')",Aug
Vgg16,FDA,2,Config_2,Err_rv,2.88,"(200, 1000, 'CE')",Aug
Vgg16,FDA,3,Config_2,Err_bl_hw,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,3,Config_2,Err_bl_rv,2.564102564102564,"(200, 1000, 'CE')",Aug
Vgg16,FDA,3,Config_2,Err_bl,1.8518518518518516,"(200, 1000, 'CE')",Aug
Vgg16,FDA,3,Config_2,Err_nor,3.8461538461538463,"(200, 1000, 'CE')",Aug
